Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Decision Tree,glove.6B.300d_max,0.9982421875,0.18769470404984423,0.1957379636937648,0.9982502073882792,0.18551766442763912,0.197341823619904,0.9982421875,0.18769470404984423,0.1957379636937648,0.9982433585055448,0.18623855968201197,0.19639975085998607,0.9999980774081074,0.506271320796012,0.5111533407484826
Random Forest,glove.6B.300d_max,0.9982421875,0.22897196261682243,0.22257300710339384,0.9982434109262645,0.2317341669897278,0.2551631800498526,0.9982421875,0.22897196261682243,0.22257300710339384,0.9982424477913583,0.21141516049923512,0.20853927616473836,0.9999862121726837,0.5684152606740438,0.5593065791309513
SVM,glove.6B.300d_max,0.43984375,0.25,0.250197316495659,0.5036978212338503,0.2920001382491476,0.23550733755585365,0.43984375,0.25,0.250197316495659,0.4177528525653914,0.2310682041513709,0.22690475283330863,0.7857238461464127,0.603459839971675,0.5918080077004023
KNN,glove.6B.300d_max,0.311328125,0.21806853582554517,0.22099447513812154,0.3263817810528643,0.20232035547040159,0.20896551984084238,0.311328125,0.21806853582554517,0.22099447513812154,0.29419364465528147,0.20321289136089044,0.206521426280119,0.683470837284961,0.5538954847619257,0.5559808543391034
Gaussian NB,glove.6B.300d_max,0.23369140625,0.20950155763239875,0.20363062352012629,0.26529256920641114,0.21574190509377023,0.21745558601589868,0.23369140625,0.20950155763239875,0.20363062352012629,0.2122233342220739,0.19260133580694844,0.18298899614399636,0.5835691814409258,0.5571399888246182,0.5670347744514774
AdaBoost,glove.6B.300d_max,0.251953125,0.22819314641744548,0.23204419889502761,0.2563112781187259,0.24833048119105258,0.22940714395892173,0.251953125,0.22819314641744548,0.23204419889502761,0.22564777610267933,0.20042346070979097,0.21236985844303827,0.6031229086754096,0.5716340892749632,0.5622319434692062
Extra Trees,glove.6B.300d_max,0.9982421875,0.24454828660436137,0.23204419889502761,0.9982459827520109,0.28643762476661333,0.26237127753781003,0.9982421875,0.24454828660436137,0.23204419889502761,0.9982430010971285,0.22220871433337278,0.21125972203828702,0.9999980655638078,0.5926395442171566,0.5864824318183821
XGBoost,glove.6B.300d_max,0.99833984375,0.23909657320872274,0.2107340173638516,0.9983430171634886,0.23965700255782799,0.20468712939825695,0.99833984375,0.23909657320872274,0.2107340173638516,0.9983406022010056,0.23649586893538654,0.20599778893223283,0.9999982430158252,0.5733485639368635,0.5526502613859773
Logistic Regression,glove.6B.300d_sum,0.30595703125,0.23130841121495327,0.23756906077348067,0.3081991111160671,0.2317759357141403,0.23861687400283885,0.30595703125,0.23130841121495327,0.23756906077348067,0.29946770205749496,0.22581371681074405,0.2322553963236112,0.6580979015613785,0.5744279565904017,0.5693393839580405
Decision Tree,glove.6B.300d_sum,0.9982421875,0.19470404984423675,0.1910023677979479,0.9982502073882792,0.19284715089678,0.19173707264034384,0.9982421875,0.19470404984423675,0.1910023677979479,0.9982433585055448,0.19338691363466814,0.1911299059424401,0.9999980774081074,0.5103441992674219,0.5081207132502639
Random Forest,glove.6B.300d_sum,0.9982421875,0.24299065420560748,0.23914759273875297,0.9982428843385345,0.24673625879870356,0.25692570609810983,0.9982421875,0.24299065420560748,0.23914759273875297,0.9982424017533861,0.22173768400789076,0.2246704236335263,0.9999760339928224,0.5815479869109178,0.5602464280187863
SVM,glove.6B.300d_sum,0.43984375,0.25,0.250197316495659,0.5036978212338503,0.2920001382491476,0.23550733755585365,0.43984375,0.25,0.250197316495659,0.4177528525653914,0.2310682041513709,0.22690475283330863,0.7861896424674044,0.6029390510390025,0.590850732126464
KNN,glove.6B.300d_sum,0.311328125,0.21806853582554517,0.22099447513812154,0.3263817810528643,0.20232035547040159,0.20896551984084238,0.311328125,0.21806853582554517,0.22099447513812154,0.29419364465528147,0.20321289136089044,0.206521426280119,0.683470837284961,0.5538954847619257,0.5559808543391034
Gaussian NB,glove.6B.300d_sum,0.23369140625,0.20950155763239875,0.20363062352012629,0.26529256920641114,0.21574190509377023,0.21745558601589868,0.23369140625,0.20950155763239875,0.20363062352012629,0.2122233342220739,0.19260133580694844,0.18298899614399636,0.5835691814409258,0.5571399888246182,0.5670347744514774
AdaBoost,glove.6B.300d_sum,0.251953125,0.22819314641744548,0.23204419889502761,0.2563112781187259,0.24833048119105258,0.22940714395892173,0.251953125,0.22819314641744548,0.23204419889502761,0.22564777610267933,0.20042346070979097,0.21236985844303827,0.6031229086754096,0.5716340892749632,0.5622319434692062
Extra Trees,glove.6B.300d_sum,0.9982421875,0.23909657320872274,0.2509865824782952,0.998245678277167,0.2620833754812899,0.2706688098017554,0.9982421875,0.23909657320872274,0.2509865824782952,0.9982429872129487,0.216270540727745,0.22916598680340813,0.999998065563808,0.5893301165792356,0.5929075557040978
XGBoost,glove.6B.300d_sum,0.99833984375,0.23909657320872274,0.2107340173638516,0.9983430171634886,0.23965700255782799,0.20468712939825695,0.99833984375,0.23909657320872274,0.2107340173638516,0.9983406022010056,0.23649586893538654,0.20599778893223283,0.9999982430158252,0.5733485639368635,0.5526502613859773
Logistic Regression,glove.twitter.27B.200d_mean,0.2888671875,0.23598130841121495,0.2296764009471192,0.28952646217073685,0.23497439800379635,0.22635136883420606,0.2888671875,0.23598130841121495,0.2296764009471192,0.2812034781125673,0.22976954820790127,0.2240641496691026,0.6419971035307552,0.5817034620834153,0.5650866355403797
Decision Tree,glove.twitter.27B.200d_mean,0.99921875,0.20327102803738317,0.19968429360694553,0.9992199372761791,0.20279971581210046,0.2002441105516417,0.99921875,0.20327102803738317,0.19968429360694553,0.9992188421774266,0.2020797997615742,0.19980930440205902,0.9999995847452864,0.5163295546510367,0.5123689348215663
Random Forest,glove.twitter.27B.200d_mean,0.99921875,0.2484423676012461,0.21625887924230466,0.9992198909279472,0.31119345228581397,0.23386942108739012,0.99921875,0.2484423676012461,0.21625887924230466,0.999218784882798,0.23051632319384885,0.20168486818608505,0.9999966118260929,0.5755139180975196,0.5587345741851393
SVM,glove.twitter.27B.200d_mean,0.35849609375,0.26246105919003115,0.2462509865824783,0.43822634953039685,0.2552856871445415,0.23254765075420145,0.35849609375,0.26246105919003115,0.2462509865824783,0.329735218780277,0.23325061782244053,0.22038368992602544,0.7280493092118231,0.607219795752244,0.5885364737013267
KNN,glove.twitter.27B.200d_mean,0.31123046875,0.2250778816199377,0.24151539068666142,0.33091169081156346,0.22329180512822064,0.23771314248265876,0.31123046875,0.2250778816199377,0.24151539068666142,0.29501018050586,0.2120323605103837,0.22628896999135767,0.6801711573154681,0.5586427827008595,0.5637775705861503
Gaussian NB,glove.twitter.27B.200d_mean,0.238671875,0.22897196261682243,0.21941594317284924,0.25595546965112786,0.2380150997737521,0.23392591635674623,0.238671875,0.22897196261682243,0.21941594317284924,0.22934641097685127,0.22100068447581503,0.2112929347481593,0.5888728087314659,0.5679996537256385,0.573555333582685
AdaBoost,glove.twitter.27B.200d_mean,0.254296875,0.24221183800623053,0.2067876874506709,0.2620193989770325,0.24329925314578293,0.20383632675782565,0.254296875,0.24221183800623053,0.2067876874506709,0.2299990238626824,0.2183890296724851,0.18807101457828593,0.606030141422379,0.5716677744011015,0.5593239874810374
Extra Trees,glove.twitter.27B.200d_mean,0.99921875,0.2531152647975078,0.23677979479084452,0.9992198900785823,0.3020257324018271,0.2686436875193363,0.99921875,0.2531152647975078,0.23677979479084452,0.9992189213908022,0.23200921897045143,0.22092623334632316,0.9999995492123877,0.6000233548400687,0.5842471294660609
XGBoost,glove.twitter.27B.200d_mean,0.99921875,0.2468847352024922,0.21468034727703236,0.9992192052764899,0.2529300423309936,0.2108384030322071,0.99921875,0.2468847352024922,0.21468034727703236,0.9992187349589811,0.2446850516938313,0.20979380263525885,0.9999995727275348,0.5822957390864566,0.5568136622708759
Logistic Regression,glove.twitter.27B.200d_max,0.2888671875,0.23598130841121495,0.2296764009471192,0.28952646217073685,0.23497439800379635,0.22635136883420606,0.2888671875,0.23598130841121495,0.2296764009471192,0.2812034781125673,0.22976954820790127,0.2240641496691026,0.6419971035307552,0.5817034620834153,0.5650866355403797
Decision Tree,glove.twitter.27B.200d_max,0.99921875,0.20638629283489096,0.20994475138121546,0.9992199372761791,0.20706168842112124,0.21042785008999057,0.99921875,0.20638629283489096,0.20994475138121546,0.9992188421774266,0.2059241501948145,0.2098225438534204,0.9999995847452864,0.5183274968618146,0.5187234384402231
Random Forest,glove.twitter.27B.200d_max,0.99921875,0.23909657320872274,0.22573007103393844,0.9992198284701719,0.2699767231793173,0.2592639207449875,0.99921875,0.23909657320872274,0.22573007103393844,0.9992188873930988,0.22318635242356946,0.21011608407995508,0.9999838081382517,0.5760225753526954,0.5582484396052411
SVM,glove.twitter.27B.200d_max,0.35849609375,0.26246105919003115,0.2462509865824783,0.43822634953039685,0.2552856871445415,0.23254765075420145,0.35849609375,0.26246105919003115,0.2462509865824783,0.329735218780277,0.23325061782244053,0.22038368992602544,0.7272487750932799,0.607198703568858,0.5885347382786379
KNN,glove.twitter.27B.200d_max,0.31123046875,0.2250778816199377,0.24151539068666142,0.33091169081156346,0.22329180512822064,0.23771314248265876,0.31123046875,0.2250778816199377,0.24151539068666142,0.29501018050586,0.2120323605103837,0.22628896999135767,0.6801711573154681,0.5586427827008595,0.5637775705861503
Gaussian NB,glove.twitter.27B.200d_max,0.238671875,0.22897196261682243,0.21941594317284924,0.25595546965112786,0.2380150997737521,0.23392591635674623,0.238671875,0.22897196261682243,0.21941594317284924,0.22934641097685127,0.22100068447581503,0.2112929347481593,0.5888728087314659,0.5679996537256385,0.573555333582685
AdaBoost,glove.twitter.27B.200d_max,0.254296875,0.24221183800623053,0.2067876874506709,0.2620193989770325,0.24329925314578293,0.20383632675782565,0.254296875,0.24221183800623053,0.2067876874506709,0.2299990238626824,0.2183890296724851,0.18807101457828593,0.606030141422379,0.5716677744011015,0.5593239874810374
Extra Trees,glove.twitter.27B.200d_max,0.99921875,0.26246105919003115,0.23756906077348067,0.9992198900785823,0.3192198330615816,0.2648592445263448,0.99921875,0.26246105919003115,0.23756906077348067,0.9992189213908022,0.23748019296308495,0.21029886785593066,0.9999995492123877,0.6005016511563543,0.5961040655741661
XGBoost,glove.twitter.27B.200d_max,0.99921875,0.2468847352024922,0.21468034727703236,0.9992192052764899,0.2529300423309936,0.2108384030322071,0.99921875,0.2468847352024922,0.21468034727703236,0.9992187349589811,0.2446850516938313,0.20979380263525885,0.9999995727275348,0.5822957390864566,0.5568136622708759
Logistic Regression,glove.twitter.27B.200d_sum,0.2888671875,0.23598130841121495,0.2296764009471192,0.28952646217073685,0.23497439800379635,0.22635136883420606,0.2888671875,0.23598130841121495,0.2296764009471192,0.2812034781125673,0.22976954820790127,0.2240641496691026,0.6419971035307552,0.5817034620834153,0.5650866355403797
Decision Tree,glove.twitter.27B.200d_sum,0.99921875,0.21651090342679127,0.22415153906866614,0.9992199372761791,0.21890261273451614,0.2259900476637893,0.99921875,0.21651090342679127,0.22415153906866614,0.9992188421774266,0.21692729422797974,0.22474361522456715,0.9999995847452864,0.5250028075335543,0.5283606219170095
Random Forest,glove.twitter.27B.200d_sum,0.99921875,0.25,0.22415153906866614,0.9992193030970782,0.28196494335263445,0.24776804678169656,0.99921875,0.25,0.22415153906866614,0.999218778348402,0.23456101269526625,0.21104002711089084,0.999987568703367,0.5801503359498758,0.55676179094202
SVM,glove.twitter.27B.200d_sum,0.35849609375,0.26246105919003115,0.2462509865824783,0.43822634953039685,0.2552856871445415,0.23254765075420145,0.35849609375,0.26246105919003115,0.2462509865824783,0.329735218780277,0.23325061782244053,0.22038368992602544,0.7277731095483458,0.6071643914922316,0.5887576606695071
KNN,glove.twitter.27B.200d_sum,0.31123046875,0.2250778816199377,0.24151539068666142,0.33091169081156346,0.22329180512822064,0.23771314248265876,0.31123046875,0.2250778816199377,0.24151539068666142,0.29501018050586,0.2120323605103837,0.22628896999135767,0.6801711573154681,0.5586427827008595,0.5637775705861503
Gaussian NB,glove.twitter.27B.200d_sum,0.238671875,0.22897196261682243,0.21941594317284924,0.25595546965112786,0.2380150997737521,0.23392591635674623,0.238671875,0.22897196261682243,0.21941594317284924,0.22934641097685127,0.22100068447581503,0.2112929347481593,0.5888728087314659,0.5679996537256385,0.573555333582685
AdaBoost,glove.twitter.27B.200d_sum,0.254296875,0.24221183800623053,0.2067876874506709,0.2620193989770325,0.24329925314578293,0.20383632675782565,0.254296875,0.24221183800623053,0.2067876874506709,0.2299990238626824,0.2183890296724851,0.18807101457828593,0.606030141422379,0.5716677744011015,0.5593239874810374
Extra Trees,glove.twitter.27B.200d_sum,0.99921875,0.26090342679127726,0.23283346487766376,0.9992201092226285,0.30920329975078453,0.26082535867869927,0.99921875,0.26090342679127726,0.23283346487766376,0.9992189281437176,0.2400241713201565,0.21175892169059715,0.9999995492123877,0.6027064196569919,0.5830094298037503
XGBoost,glove.twitter.27B.200d_sum,0.99921875,0.2468847352024922,0.21468034727703236,0.9992192052764899,0.2529300423309936,0.2108384030322071,0.99921875,0.2468847352024922,0.21468034727703236,0.9992187349589811,0.2446850516938313,0.20979380263525885,0.9999995727275348,0.5822957390864566,0.5568136622708759
