Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
AdaBoost,glove.6B.300d_mean,0.623828125,0.572429906542056,0.5990528808208366,0.6192086255541083,0.5745617678261007,0.5914263267271529,0.623828125,0.572429906542056,0.5990528808208366,0.6121292111137294,0.5581960946267595,0.5856121356528928,0.6029514030925305,0.5652509915234466,0.5763659894337482
Extra Trees,glove.6B.300d_mean,0.9986328125,0.5957943925233645,0.6140489344909235,0.9986329876992179,0.6027059600894547,0.6081701840994934,0.9986328125,0.5957943925233645,0.6140489344909235,0.9986327453388373,0.580036337609949,0.5996646460983723,0.9985626947706635,0.588085193249864,0.5904868276424494
XGBoost,glove.6B.300d_mean,0.99873046875,0.5841121495327103,0.5785319652722968,0.9987307964133685,0.5840425353031582,0.572037904816217,0.99873046875,0.5841121495327103,0.5785319652722968,0.9987303907316833,0.5783436311475555,0.5723586935458107,0.9986496210571725,0.5794482463644142,0.5624401659397936
Logistic Regression,glove.6B.300d_max,0.625,0.5926791277258567,0.6069455406471981,0.6203232089999309,0.5952066581843779,0.6004508792116706,0.625,0.5926791277258567,0.6069455406471981,0.6147106411929968,0.5827575649068181,0.5969406873657728,0.6053165418398994,0.5865444435803717,0.5870386129135199
Decision Tree,glove.6B.300d_max,0.9986328125,0.5225856697819314,0.5295974743488555,0.998633255349261,0.5220872968845492,0.5315317478173738,0.9986328125,0.5225856697819314,0.5295974743488555,0.9986328792243633,0.5222450111575389,0.5304341896438057,0.9986606224232013,0.521264289602613,0.5239158954721128
Random Forest,glove.6B.300d_max,0.9986328125,0.5848909657320872,0.5808997632202052,0.998633307180906,0.5874817645599741,0.5712503061095564,0.9986328125,0.5848909657320872,0.5808997632202052,0.9986327115943965,0.5732340005578775,0.566711210341479,0.998538212857529,0.578301189828136,0.5578129986171685
SVM,glove.6B.300d_max,0.73017578125,0.5934579439252337,0.6227308602999211,0.7374361011864936,0.5997083532130262,0.6180123793593807,0.73017578125,0.5934579439252337,0.6227308602999211,0.7211244196971004,0.5780087096494517,0.6082712328605062,0.7101978324519844,0.585839684267828,0.599005424954792
KNN,glove.6B.300d_max,0.644140625,0.5763239875389408,0.5935280189423836,0.6409358494155762,0.5775585823431605,0.5858239918487937,0.644140625,0.5763239875389408,0.5935280189423836,0.6350488468321983,0.5654543458455016,0.5825851971547245,0.6253898512243437,0.5700044715763278,0.5728911817891714
Gaussian NB,glove.6B.300d_max,0.5818359375,0.5771028037383178,0.5887924230465666,0.5850126751873386,0.5765493017734585,0.5919667291647536,0.5818359375,0.5771028037383178,0.5887924230465668,0.5829671715392702,0.5766072392879837,0.5899333633901807,0.5788912606387859,0.5756182440314177,0.5856114597737829
AdaBoost,glove.6B.300d_max,0.623828125,0.572429906542056,0.5990528808208366,0.6192086255541083,0.5745617678261007,0.5914263267271529,0.623828125,0.572429906542056,0.5990528808208366,0.6121292111137294,0.5581960946267595,0.5856121356528928,0.6029514030925305,0.5652509915234466,0.5763659894337482
Extra Trees,glove.6B.300d_max,0.9986328125,0.6051401869158879,0.6101026045777427,0.9986328228208456,0.6124164083744917,0.603712507316516,0.9986328125,0.6051401869158879,0.6101026045777427,0.9986327789740306,0.5910199230909042,0.595977554243837,0.9985871766837978,0.5977622676724474,0.5867815480622629
XGBoost,glove.6B.300d_max,0.99873046875,0.5841121495327103,0.5785319652722968,0.9987307964133685,0.5840425353031582,0.572037904816217,0.99873046875,0.5841121495327103,0.5785319652722968,0.9987303907316833,0.5783436311475555,0.5723586935458107,0.9986496210571725,0.5794482463644142,0.5624401659397936
Logistic Regression,glove.6B.300d_sum,0.625,0.5926791277258567,0.6069455406471981,0.6203232089999309,0.5952066581843779,0.6004508792116706,0.625,0.5926791277258567,0.6069455406471981,0.6147106411929968,0.5827575649068181,0.5969406873657728,0.6053165418398994,0.5865444435803717,0.5870386129135199
Decision Tree,glove.6B.300d_sum,0.9986328125,0.5233644859813084,0.5256511444356748,0.998633255349261,0.5223993092927158,0.5247826532552454,0.9986328125,0.5233644859813084,0.5256511444356748,0.9986328792243633,0.5225153321342697,0.5251907544246983,0.9986606224232013,0.5215073100552142,0.5169485515725278
Random Forest,glove.6B.300d_sum,0.9986328125,0.5950155763239875,0.6022099447513812,0.998633781312004,0.5982157060682683,0.5948558531467523,0.9986328125,0.5950155763239875,0.6022099447513812,0.9986326777406844,0.5844112308300984,0.5872448933457515,0.9985137309443944,0.5886635819270549,0.5783515938020778
SVM,glove.6B.300d_sum,0.73017578125,0.5934579439252337,0.6227308602999211,0.7374361011864936,0.5997083532130262,0.6180123793593807,0.73017578125,0.5934579439252337,0.6227308602999211,0.7211244196971004,0.5780087096494517,0.6082712328605062,0.7101978324519844,0.585839684267828,0.599005424954792
KNN,glove.6B.300d_sum,0.644140625,0.5763239875389408,0.5935280189423836,0.6409358494155762,0.5775585823431605,0.5858239918487937,0.644140625,0.5763239875389408,0.5935280189423836,0.6350488468321983,0.5654543458455016,0.5825851971547245,0.6253898512243437,0.5700044715763278,0.5728911817891714
