Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
KNN,glove.840B.300d_max,0.31181640625,0.21806853582554517,0.22257300710339384,0.3328833514958534,0.22807875324128846,0.22279673952281376,0.31181640625,0.21806853582554517,0.22257300710339384,0.2933154246729086,0.20515074981599543,0.2047732614428534,0.6816703937733253,0.561517742947902,0.5552763878043382
Gaussian NB,glove.840B.300d_max,0.24189453125,0.2102803738317757,0.22336227308603,0.2674842469879818,0.21343921454310025,0.23169695359051454,0.24189453125,0.2102803738317757,0.22336227308603,0.22354054671522694,0.19363433137706373,0.20312953258116523,0.58648611081789,0.5612086794689118,0.5696098300699306
AdaBoost,glove.840B.300d_max,0.25263671875,0.22585669781931464,0.23441199684293607,0.25623404036344943,0.22422273397630357,0.23387880385685836,0.25263671875,0.22585669781931464,0.23441199684293607,0.23153227407215843,0.20414686294668388,0.2163509465825846,0.6135637539124353,0.5712217489244398,0.5837313487500491
Extra Trees,glove.840B.300d_max,0.99931640625,0.25,0.23993685872138912,0.9993172532134217,0.2902231618455258,0.2636585115388931,0.99931640625,0.25,0.23993685872138912,0.9993165543438793,0.2285651391921098,0.21723697996240346,0.9999996320280508,0.5951034701086922,0.5920037279667755
XGBoost,glove.840B.300d_max,0.99931640625,0.21651090342679127,0.24861878453038674,0.9993170491088451,0.216793337626941,0.2451537639504146,0.99931640625,0.21651090342679127,0.24861878453038674,0.9993164137365372,0.21459773352487926,0.24279733549320628,0.9999996320280508,0.5752295691525656,0.5859756471501513
Logistic Regression,glove.840B.300d_sum,0.31484375,0.23130841121495327,0.2202052091554854,0.31762152296365753,0.22982929506318772,0.21886909889902426,0.31484375,0.23130841121495327,0.2202052091554854,0.3105269008441575,0.22632926518861607,0.21616198682273374,0.6665185384501291,0.5817700149131725,0.56695041995778
Decision Tree,glove.840B.300d_sum,0.99931640625,0.205607476635514,0.186266771902131,0.9993171544638745,0.20732077448206088,0.1857729334593212,0.99931640625,0.205607476635514,0.186266771902131,0.9993164507531954,0.20514139488143793,0.1857568606747746,0.9999996320280508,0.5179931380289015,0.5040526681863027
Random Forest,glove.840B.300d_sum,0.99931640625,0.23286604361370716,0.250197316495659,0.9993170954570768,0.2603407285672214,0.2539636118095275,0.99931640625,0.23286604361370716,0.250197316495659,0.9993164710311658,0.21831554057013516,0.23017887992257466,0.999990156918909,0.575641193724993,0.5743716493869525
SVM,glove.840B.300d_sum,0.43779296875,0.25,0.24388318863456984,0.50315343390361,0.2937062733671723,0.2638524337251658,0.43779296875,0.25,0.24388318863456984,0.4162209327884264,0.2320355627900336,0.22287568306129865,0.7849095933992271,0.6101822939207038,0.5967632253654861
KNN,glove.840B.300d_sum,0.31181640625,0.21806853582554517,0.22257300710339384,0.3328833514958534,0.22807875324128846,0.22279673952281376,0.31181640625,0.21806853582554517,0.22257300710339384,0.2933154246729086,0.20515074981599543,0.2047732614428534,0.6816703937733253,0.561517742947902,0.5552763878043382
Gaussian NB,glove.840B.300d_sum,0.24189453125,0.2102803738317757,0.22336227308603,0.2674842469879818,0.21343921454310025,0.23169695359051454,0.24189453125,0.2102803738317757,0.22336227308603,0.22354054671522694,0.19363433137706373,0.20312953258116523,0.58648611081789,0.5612086794689118,0.5696098300699306
AdaBoost,glove.840B.300d_sum,0.25263671875,0.22585669781931464,0.23441199684293607,0.25623404036344943,0.22422273397630357,0.23387880385685836,0.25263671875,0.22585669781931464,0.23441199684293607,0.23153227407215843,0.20414686294668388,0.2163509465825846,0.6135637539124353,0.5712217489244398,0.5837313487500491
Extra Trees,glove.840B.300d_sum,0.99931640625,0.2531152647975078,0.24861878453038674,0.9993172532134217,0.2911960120588865,0.2621509423478819,0.99931640625,0.2531152647975078,0.24861878453038674,0.9993165543438793,0.2309209650806805,0.22501675563676488,0.9999996320280508,0.5999714393422638,0.5957397284403146
XGBoost,glove.840B.300d_sum,0.99931640625,0.21651090342679127,0.24861878453038674,0.9993170491088451,0.216793337626941,0.2451537639504146,0.99931640625,0.21651090342679127,0.24861878453038674,0.9993164137365372,0.21459773352487926,0.24279733549320628,0.9999996320280508,0.5752295691525656,0.5859756471501513
