Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
XGBoost,glove.840B.300d_max,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.9993926689426464,0.2421468247623746,0.2478909640761085,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.999392103922027,0.2399875717978393,0.24589530803668308,0.9999997166868971,0.577843711960297,0.5763857281267426
Logistic Regression,glove.840B.300d_sum,0.33608336951802,0.21651090342679127,0.2067876874506709,0.32659118871935267,0.2260973283445063,0.22396297022444472,0.33608336951802,0.21651090342679127,0.2067876874506709,0.32373764575488717,0.2126312675552365,0.2073528729761295,0.6883983768631871,0.580333804002184,0.5667062314500768
Decision Tree,glove.840B.300d_sum,0.9993920972644377,0.18847352024922118,0.19889502762430938,0.9993927626322253,0.19334782452159152,0.2067643061582948,0.9993920972644377,0.18847352024922118,0.19889502762430938,0.9993921368400105,0.1901096614346653,0.20172336433773935,0.9999997166868971,0.5099540286223572,0.5161631333873569
Random Forest,glove.840B.300d_sum,0.9993920972644377,0.23598130841121495,0.22730860299921074,0.9993924813674752,0.23130630009870515,0.23120604101882405,0.9993920972644377,0.23598130841121495,0.22730860299921074,0.9993921706427225,0.2234265101064152,0.21706319943560337,0.9999975912166482,0.5682848359114587,0.5701466761212587
SVM,glove.840B.300d_sum,0.494398610508033,0.2336448598130841,0.22573007103393844,0.5114132152611208,0.2565357925578985,0.24771964659968942,0.494398610508033,0.2336448598130841,0.22573007103393844,0.47668036573563155,0.22728926352420395,0.2184504925669272,0.8108545797995246,0.5993593150419749,0.5870608954853619
KNN,glove.840B.300d_sum,0.25835866261398177,0.14719626168224298,0.11049723756906077,0.3394415061636971,0.23718872248822312,0.21661064018155946,0.25835866261398177,0.14719626168224298,0.11049723756906077,0.18797061946033417,0.11535298222742643,0.08597046107055142,0.7312776385832311,0.5508568348597366,0.5481604347449152
Gaussian NB,glove.840B.300d_sum,0.2796352583586626,0.1853582554517134,0.19494869771112866,0.2761205906147634,0.2041518431513844,0.2077561804375835,0.2796352583586626,0.1853582554517134,0.19494869771112866,0.2354524845472172,0.16231801821229003,0.16937362286400964,0.6167227483710258,0.5478679039510063,0.551983453947838
AdaBoost,glove.840B.300d_sum,0.28484585323491096,0.22274143302180685,0.1910023677979479,0.2712382625830305,0.23227531087117126,0.21116851422580538,0.28484585323491096,0.22274143302180685,0.1910023677979479,0.25600536416865205,0.2022250773470891,0.17837371397459484,0.6269067616246223,0.5763320295687547,0.5660814683432781
Extra Trees,glove.840B.300d_sum,0.9993920972644377,0.24065420560747663,0.23125493291239146,0.9993922759865589,0.24979392366301406,0.2334752531065823,0.9993920972644377,0.24065420560747663,0.23125493291239146,0.9993921197892807,0.22794188953865327,0.21606453855894467,0.9999997166868971,0.5981189957495975,0.5790084557713173
XGBoost,glove.840B.300d_sum,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.9993926689426464,0.2421468247623746,0.2478909640761085,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.999392103922027,0.2399875717978393,0.24589530803668308,0.9999997166868971,0.577843711960297,0.5763857281267426
